original amplitude,original phase shift,manipulated amplitude,manipulated phase shift,amplitude difference,phase shift difference
1,1.6,-0.67,2.17,1.67,0.5699999999999998
1,2.9000000000000004,-0.67,2.17,1.67,0.7300000000000004
